ID,URL,Article Type,Score
39,https://www.politico.com/story/2018/05/14/emails-white-house-interfered-with-science-study-536950,News,4) Somewhat high credibility
40,https://www.smh.com.au/politics/federal/malcolm-turnbull-removes-all-climate-change-targets-from-energy-policy-in-fresh-bid-to-save-leadership-20180820-p4zyht.html,News,5) Very high credibility
41,https://www.theguardian.com/environment/2017/nov/10/al-gore-donald-trump-climate-change,News,4) Somewhat high credibility
42,https://www.theguardian.com/environment/2018/aug/27/air-pollution-causes-huge-reduction-in-intelligence-study-reveals,News,4) Somewhat high credibility
43,https://www.theguardian.com/environment/2018/sep/07/bbc-we-get-climate-change-coverage-wrong-too-often,News,4) Somewhat high credibility
44,https://www.theguardian.com/us-news/2017/dec/29/donald-trump-good-old-global-warming-us-winter,News,4) Somewhat high credibility
45,https://www.usatoday.com/story/news/2018/05/04/global-warming-carbon-dioxide-levels-continue-soar/581270002/,News,4) Somewhat high credibility
46,https://www.washingtonpost.com/national/health-science/climate-change-is-supercharging-a-hot-and-dangerous-summer/2018/07/26/cf960ba8-905c-11e8-bcd5-9d911c784c38_story.html,Analysis,5) Very high credibility
47,https://www.washingtonpost.com/news/energy-environment/wp/2017/11/03/trump-administration-releases-report-finds-no-convincing-alternative-explanation-for-climate-change/,News,5) Very high credibility
48,https://www.westernjournal.com/ct/after-libs-blame-west-coast-fires-on-global-warming-forester-speaks-out/,Opinion,4) Somewhat high credibility
49,https://www.westernjournal.com/report-poor-management-forests-global-warming-blame-widespread-wildfires/,News,4) Somewhat high credibility
50,https://www.wsj.com/articles/climate-change-has-run-its-course-1528152876 (archived version: http://archive.is/a6sXH),Opinion,5) Very high credibility
